subject,round_limit,final_unique_nodes,peak_enodes,rounds,stop
RepeatedSuffix(16,8),raw,167,-,0,NoEAN
RepeatedSuffix(16,8),1,47,45,1,RoundLimit
RepeatedSuffix(16,8),2,47,45,1,Saturated
RepeatedSuffix(16,8),3,47,45,1,Saturated
RepeatedSuffix(16,8),4,47,45,1,Saturated
RepeatedSuffix(16,8),5,47,45,1,Saturated
RepeatedSuffix(16,8),6,47,45,1,Saturated
RepeatedSuffix(16,8),8,47,45,1,Saturated
RepeatedSuffix(16,8),12,47,45,1,Saturated
RepeatedSuffix(16,8),32,47,45,1,Saturated
CrossRootReuse(12),raw,32,-,0,NoEAN
CrossRootReuse(12),1,31,35,1,RoundLimit
CrossRootReuse(12),2,31,35,1,Saturated
CrossRootReuse(12),3,31,35,1,Saturated
CrossRootReuse(12),4,31,35,1,Saturated
CrossRootReuse(12),5,31,35,1,Saturated
CrossRootReuse(12),6,31,35,1,Saturated
CrossRootReuse(12),8,31,35,1,Saturated
CrossRootReuse(12),12,31,35,1,Saturated
CrossRootReuse(12),32,31,35,1,Saturated
NestedTrie(6),raw,156,-,0,NoEAN
NestedTrie(6),1,155,132,1,RoundLimit
NestedTrie(6),2,154,170,2,RoundLimit
NestedTrie(6),3,151,215,3,RoundLimit
NestedTrie(6),4,145,273,4,RoundLimit
NestedTrie(6),5,133,325,5,RoundLimit
NestedTrie(6),6,125,333,6,RoundLimit
NestedTrie(6),8,125,363,7,Saturated
NestedTrie(6),12,125,363,7,Saturated
NestedTrie(6),32,125,363,7,Saturated
NestedTrie(7),raw,316,-,0,NoEAN
NestedTrie(7),1,315,260,1,RoundLimit
NestedTrie(7),2,314,330,2,RoundLimit
NestedTrie(7),3,311,407,3,RoundLimit
NestedTrie(7),4,305,497,4,RoundLimit
NestedTrie(7),5,293,613,5,RoundLimit
NestedTrie(7),6,269,717,6,RoundLimit
NestedTrie(7),8,253,795,8,RoundLimit
NestedTrie(7),12,253,795,8,Saturated
NestedTrie(7),32,253,795,8,Saturated
